0	9	1
0	10	1
0	3	1
0	12	1
0	8	1
0	14	1
0	7	1
0	6	1
0	4	1
0	0	1
0	1	1
0	5	1
0	2	1
0	11	1
0	13	1
0	1007	0
0	6322	0
0	55	0
0	4255	0
0	3171	0
0	3780	0
0	3008	0
0	5230	0
0	64	0
0	344	0
0	2951	0
0	871	0
0	225	0
0	963	0
0	5334	0
1	21	1
1	20	1
1	16	1
1	15	1
1	18	1
1	17	1
1	0	1
1	19	1
1	5889	0
1	1678	0
1	1445	0
1	4691	0
1	2344	0
1	3239	0
1	3880	0
1	3094	0
2	22	1
2	0	1
2	23	1
2	25	1
2	26	1
2	24	1
2	5584	0
2	4343	0
2	7216	0
2	6464	0
2	4826	0
2	6840	0
3	28	1
3	27	1
3	0	1
3	6141	0
3	2841	0
3	4026	0
4	31	1
4	29	1
4	33	1
4	35	1
4	0	1
4	30	1
4	32	1
4	34	1
4	3417	0
4	6570	0
4	5656	0
4	6929	0
4	2485	0
4	3358	0
4	6184	0
4	2026	0
5	41	1
5	36	1
5	0	1
5	40	1
5	38	1
5	39	1
5	37	1
5	5537	0
5	3015	0
5	1607	0
5	7064	0
5	77	0
5	6907	0
5	3180	0
6	43	1
6	0	1
6	42	1
6	4463	0
6	3322	0
6	6955	0
7	46	1
7	48	1
7	0	1
7	44	1
7	47	1
7	45	1
7	4210	0
7	4213	0
7	1353	0
7	3708	0
7	2786	0
7	2989	0
8	49	1
8	53	1
8	52	1
8	0	1
8	50	1
8	51	1
8	292	0
8	4035	0
8	4641	0
8	437	0
8	2870	0
8	5912	0
9	55	1
9	56	1
9	54	1
9	0	1
9	57	1
9	5185	0
9	2571	0
9	3947	0
9	2834	0
9	2949	0
10	0	1
10	61	1
10	59	1
10	58	1
10	60	1
10	1184	0
10	2264	0
10	3170	0
10	367	0
10	504	0
11	66	1
11	65	1
11	0	1
11	62	1
11	63	1
11	64	1
11	5374	0
11	4521	0
11	1077	0
11	6416	0
11	988	0
11	3897	0
12	70	1
12	69	1
12	0	1
12	67	1
12	68	1
